Year,State,District,Party,Name,Votes,Winner,Incumbent
2014,Alabama,District 98,Democratic Party,"Napoleon Bracy, Jr.",6134,True,1.0
2014,Alabama,District 98,Republican Party,Wayne E. Biggs,3276,False,0.0
2014,Alabama,District 98,unaffiliated,Darren Flott,1021,False,0.0
2014,Alabama,District 99,Democratic Party,James Buskey,7586,True,1.0
2014,Alabama,District 100,Republican Party,Victor Gaston,7878,True,1.0
2014,Alabama,District 101,Republican Party,Chris Pringle,7382,True,0.0
2014,Alabama,District 102,Republican Party,Jack Williams,6688,True,1.0
2014,Alabama,District 103,Democratic Party,Barbara Drummond,5608,True,0.0
2014,Alabama,District 103,Republican Party,Ralph Carmichael,2065,False,0.0
2014,Alabama,District 104,Republican Party,Margie Wilcox,7745,True,1.0
2014,Alabama,District 105,Republican Party,David Sessions,6227,True,1.0
2014,Alaska,District 1,Democratic Party,Scott J. Kawasaki,2973,True,0.0
2014,Alaska,District 1,Republican Party,Gregory Don Bringhurst,2434,False,0.0
2014,Alaska,District 2,Democratic Party,Larry Murakami,1118,False,0.0
2014,Alaska,District 2,Republican Party,Steve M. Thompson,2324,True,0.0
2014,Alaska,District 3,Democratic Party,Sharron J. Hunter,1171,False,0.0
2014,Alaska,District 3,Republican Party,Tammie Wilson,4562,True,0.0
2014,Alaska,District 4,Democratic Party,David Guttenberg,4625,True,0.0
2014,Alaska,District 4,Republican Party,Joe Blanchard II,3390,False,0.0
2014,Alaska,District 5,Democratic Party,Adam Wool,3379,True,0.0
2014,Alaska,District 5,Republican Party,Pete B. Higgins,3037,False,1.0
2014,Alaska,District 6,Democratic Party,Wilson Justin,2590,False,0.0
2014,Alaska,District 6,Republican Party,"David M. ""Dave"" Talerico",3940,True,0.0
2014,Alaska,District 7,Republican Party,Lynn Gattis,4024,True,0.0
2014,Alaska,District 7,unaffiliated,Verne Rupright,2209,False,0.0
2014,Alaska,District 8,Democratic Party,Pam Rahn,1168,False,0.0
2014,Alaska,District 8,Republican Party,Mark A. Neuman,4689,True,0.0
2014,Alaska,District 9,Democratic Party,Mabel H. Wimmer,1009,False,0.0
2014,Alaska,District 9,Republican Party,Jim Colver,4075,True,0.0
2014,Alaska,District 9,Constitution Party,Pamela Goode,1874,False,0.0
2014,Alaska,District 10,Democratic Party,Neal T. Lacy,1475,False,0.0
2014,Alaska,District 10,Republican Party,Wes Keller,4475,True,0.0
2014,Alaska,District 10,unaffiliated,Roger Purcell,998,False,0.0
2014,Alaska,District 11,Democratic Party,Pete P. LaFrance,2275,False,0.0
2014,Alaska,District 11,Republican Party,Shelley Hughes,5268,True,0.0
2014,Alaska,District 12,Democratic Party,Gretchen Wehmhoff,2155,False,0.0
2014,Alaska,District 12,Republican Party,Cathy Tilton,5569,True,0.0
2014,Alaska,District 13,Republican Party,Dan Saddler,3642,True,0.0
2014,Alaska,District 14,Democratic Party,Miles D. Pruner,2123,False,0.0
2014,Alaska,District 14,Republican Party,Lora Reinbold,6172,True,0.0
2014,Alaska,District 15,Democratic Party,Laurie Hummel,1782,False,0.0
2014,Alaska,District 15,Republican Party,Gabrielle LeDoux,1995,True,0.0
2014,Alaska,District 16,Democratic Party,"Max F. Gruenberg, Jr.",3253,True,0.0
2014,Alaska,District 16,Republican Party,Don Hadley,2745,False,0.0
2014,Alaska,District 17,Democratic Party,"Andrew L. ""Andy"" Josephson",4055,True,0.0
2014,Alaska,District 18,Democratic Party,Harriet A. Drummond,3764,True,0.0
2014,Alaska,District 18,unaffiliated,Phil Isley,1769,False,0.0
2014,Alaska,District 19,Democratic Party,Geran Tarr,2545,True,0.0
2014,Alaska,District 19,Libertarian Party,Cean Stevens,1461,False,0.0
2014,Alaska,District 20,Democratic Party,Les S. Gara,4635,True,0.0
2014,Alaska,District 21,Democratic Party,Matt Claman,3849,True,0.0
2014,Alaska,District 21,Republican Party,Anand Dubey,3759,False,0.0
2014,Alaska,District 22,Democratic Party,Marty M. McGee,3138,False,0.0
2014,Alaska,District 22,Republican Party,Liz Vazquez,4143,True,0.0
2014,Alaska,District 22,Republican Party,"David ""Dave"" Nees (Write-in)",36,False,0.0
2014,Alaska,District 23,Democratic Party,Chris S. Tuck,4208,True,0.0
2014,Alaska,District 24,Democratic Party,"Michael ""Mike"" Fenster",2926,False,0.0
2014,Alaska,District 24,Republican Party,Craig W. Johnson,5073,True,0.0
2014,Alaska,District 25,Democratic Party,Patti Higgins,3045,False,0.0
2014,Alaska,District 25,Republican Party,Charisse E. Millett,3655,True,0.0
2014,Alaska,District 26,Democratic Party,Bill Goodell,2436,False,0.0
2014,Alaska,District 26,Republican Party,Bob Lynn,4913,True,0.0
2014,Alaska,District 27,Democratic Party,Matt Moore,3138,False,0.0
2014,Alaska,District 27,Republican Party,Lance Pruitt,4463,True,0.0
2014,Alaska,District 28,Democratic Party,Samuel Duff Combs,3691,False,0.0
2014,Alaska,District 28,Republican Party,Mike Hawker,6121,True,0.0
2014,Alaska,District 29,Democratic Party,Rocky Knudsen,1725,False,0.0
2014,Alaska,District 29,Republican Party,"Charles ""Mike"" Chenault",5629,True,0.0
2014,Alaska,District 30,Democratic Party,Shauna Thornton,1940,False,0.0
2014,Alaska,District 30,Republican Party,Kurt E. Olson,5285,True,0.0
2014,Alaska,District 31,Republican Party,Paul Seaton,6942,True,0.0
2014,Alaska,District 32,Democratic Party,Jerry G. McCune,2608,False,0.0
2014,Alaska,District 32,Republican Party,Louise B. Stutes,3236,True,0.0
2014,Alaska,District 33,Democratic Party,Sam S. Kito,6575,True,0.0
2014,Alaska,District 33,Republican Party,Peter Dukowitz,2077,False,0.0
2014,Alaska,District 34,Democratic Party,George McGuan,3090,False,0.0
2014,Alaska,District 34,Republican Party,Cathy E. Munoz,5132,True,0.0
2014,Alaska,District 35,Democratic Party,Jonathan Kreiss-Tomkins,4630,True,0.0
2014,Alaska,District 35,Republican Party,Steven A. Samuelson,3189,False,0.0
2014,Alaska,District 36,Republican Party,Chere L. Klein,3426,False,0.0
2014,Alaska,District 36,unaffiliated,"Daniel ""Dan"" H. Ortiz",3530,True,0.0
2014,Alaska,District 37,Democratic Party,Bryce Edgmon,4173,True,0.0
2014,Alaska,District 38,Democratic Party,Bob Herron,4683,True,0.0
2014,Alaska,District 39,Democratic Party,Neal W. Foster,5277,True,1.0
2014,Alaska,District 40,Democratic Party,"Benjamin P. ""Bennie"" Nageak",3982,True,1.0
2014,Arkansas,District 1,Republican Party,"Mary P. ""Prissy"" Hickerson",1,True,1.0
2014,Arkansas,District 2,Republican Party,Lane Jean,1,True,1.0
2014,Arkansas,District 3,Democratic Party,Brent Talley,1,True,1.0
2014,Arkansas,District 4,Democratic Party,Fonda Hawthorne,2962,False,1.0
2014,Arkansas,District 4,Republican Party,DeAnn Vaught,4319,True,0.0
2014,Arkansas,District 5,Democratic Party,David Fielding,1,True,1.0
2014,Arkansas,District 6,Republican Party,Matthew Shepherd,1,True,1.0
2014,Arkansas,District 7,Democratic Party,John Baine,1,True,1.0
2014,Arkansas,District 8,Democratic Party,Jeff Wardlaw,1,True,1.0
2014,Arkansas,District 9,Democratic Party,Sheilla Lampkin,4436,True,1.0
2014,Arkansas,District 9,Republican Party,Sonya Leggett-Ryburn,3573,False,0.0
2014,Arkansas,District 10,Democratic Party,Mike Holcomb,5009,True,1.0
2014,Arkansas,District 10,Republican Party,Patricia Ferrell Mays,3638,False,0.0
2014,Arkansas,District 11,Democratic Party,Mark D. McElroy,1,True,1.0
2014,Arkansas,District 12,Democratic Party,Chris Richey,1,True,1.0
2014,Arkansas,District 13,Democratic Party,David Hillman,1,True,1.0
2014,Arkansas,District 14,Democratic Party,Camille Bennett,4252,True,0.0
2014,Arkansas,District 14,Republican Party,Buddy Fisher,4166,False,0.0
2014,Arkansas,District 15,Republican Party,Ken Bragg,7346,True,1.0
2014,Arkansas,District 15,Libertarian Party,Wayne Willems,1477,False,0.0
2014,Arkansas,District 16,Democratic Party,Ken Ferguson,1,True,0.0
2014,Arkansas,District 17,Democratic Party,Vivian Flowers,1,True,0.0
2014,Arkansas,District 18,Democratic Party,Damon Daniels,4228,False,0.0
2014,Arkansas,District 18,Republican Party,Richard Womack,4955,True,1.0
2014,Arkansas,District 19,Democratic Party,Jeremy Ross,3383,False,0.0
2014,Arkansas,District 19,Republican Party,Justin Gonzales,4345,True,0.0
2014,Arkansas,District 20,Democratic Party,Chase A. Busch,2500,False,0.0
2014,Arkansas,District 20,Republican Party,Nate Bell,5466,True,1.0
2014,Arkansas,District 20,Libertarian Party,Marc Rosson,653,False,0.0
2014,Arkansas,District 21,Republican Party,Marcus E. Richmond,1,True,0.0
2014,Arkansas,District 22,Republican Party,Mickey Gates,1,True,0.0
2014,Arkansas,District 23,Republican Party,Lanny Fite,1,True,0.0
2014,Arkansas,District 24,Republican Party,Bruce Cozart,1,True,1.0
2014,Arkansas,District 25,Democratic Party,John T. Vines,1,True,1.0
2014,Arkansas,District 26,Democratic Party,David Kizzia,4126,False,1.0
2014,Arkansas,District 26,Republican Party,Laurie Rushing,4369,True,0.0
2014,Arkansas,District 27,Republican Party,Julie Mayberry,1,True,0.0
2014,Arkansas,District 28,Republican Party,Kim Hammer,1,True,1.0
2014,Arkansas,District 29,Democratic Party,Fred Love,1,True,1.0
2014,Arkansas,District 30,Democratic Party,Charles L. Armstrong,1,True,1.0
2014,Arkansas,District 31,Democratic Party,Clea Hupp,3633,False,0.0
2014,Arkansas,District 31,Republican Party,Andy Davis,8846,True,1.0
2014,Arkansas,District 31,Libertarian Party,Greg Deckelman,438,False,0.0
2014,Arkansas,District 32,Democratic Party,John Adams,5349,False,0.0
2014,Arkansas,District 32,Republican Party,Jim Sorvillo,6980,True,0.0
2014,Arkansas,District 33,Democratic Party,Warwick Sabin,1,True,1.0
2014,Arkansas,District 34,Democratic Party,John W. Walker,1,True,1.0
2014,Arkansas,District 35,Democratic Party,Clarke Tucker,6729,True,0.0
2014,Arkansas,District 35,Republican Party,Stacy Hurst,5991,False,0.0
2014,Arkansas,District 36,Democratic Party,Charles Blake,1,True,0.0
2014,Arkansas,District 37,Democratic Party,"Eddie Armstrong, III",1,True,1.0
2014,Arkansas,District 38,Democratic Party,Patti Julian,5389,False,1.0
2014,Arkansas,District 38,Republican Party,Donnie Copeland,5710,True,0.0
2014,Arkansas,District 39,Republican Party,Mark Lowery,1,True,1.0
2014,Arkansas,District 40,Republican Party,Douglas House,1,True,1.0
2014,Arkansas,District 41,Democratic Party,Danny Knight,4645,False,0.0
2014,Arkansas,District 41,Republican Party,Karilyn Brown,6100,True,0.0
2014,Arkansas,District 42,Democratic Party,J.P. Bob Johnson,1,True,0.0
2014,Arkansas,District 43,Republican Party,Tim Lemons,1,True,0.0
2014,Arkansas,District 44,Republican Party,Joe Farrer,1,True,1.0
2014,Arkansas,District 45,Republican Party,Jeremy Gillam,1,True,1.0
2014,Arkansas,District 46,Republican Party,Les Eaves,1,True,0.0
2014,Arkansas,District 47,Democratic Party,Michael John Gray,1,True,0.0
2014,Arkansas,District 48,Democratic Party,Reginald Murdock,1,True,1.0
2014,Arkansas,District 49,Democratic Party,Marshall Wright,1,True,1.0
2014,Arkansas,District 50,Democratic Party,"Milton Nicks, Jr.",1,True,0.0
2014,Arkansas,District 51,Democratic Party,Deborah Ferguson,4089,True,1.0
2014,Arkansas,District 51,Libertarian Party,Rodger Paxton,1454,False,0.0
2014,Arkansas,District 52,Democratic Party,Radius H. Baker,3019,False,0.0
2014,Arkansas,District 52,Republican Party,Dwight Tosh,5425,True,1.0
2014,Arkansas,District 53,Democratic Party,Homer Lenderman,3416,False,1.0
2014,Arkansas,District 53,Republican Party,Dan Sullivan,3830,True,0.0
2014,Arkansas,District 54,Democratic Party,Wes Wagner,3227,False,1.0
2014,Arkansas,District 54,Republican Party,Dave Wallace,4133,True,0.0
2014,Arkansas,District 55,Democratic Party,Monte Hodges,1,True,1.0
2014,Arkansas,District 56,Democratic Party,Joe Jett,1,True,1.0
2014,Arkansas,District 57,Democratic Party,Mary Broadaway,4181,True,1.0
2014,Arkansas,District 57,Republican Party,Ronnie Spence,3258,False,0.0
2014,Arkansas,District 58,Democratic Party,Harold Copenhaver,3960,False,1.0
2014,Arkansas,District 58,Republican Party,Brandt Smith,4396,True,0.0
2014,Arkansas,District 59,Democratic Party,Ron Carroll,2844,False,0.0
2014,Arkansas,District 59,Republican Party,Jack Ladyman,3581,True,0.0
2014,Arkansas,District 60,Democratic Party,James Ratliff,4001,True,1.0
2014,Arkansas,District 60,Republican Party,Blaine Davis,3951,False,0.0
2014,Arkansas,District 61,Democratic Party,Scott Baltz,4634,True,1.0
2014,Arkansas,District 61,Republican Party,Doug Driesel,3899,False,0.0
2014,Arkansas,District 62,Democratic Party,Tommy Wren,4319,False,1.0
2014,Arkansas,District 62,Republican Party,Michelle Gray,5130,True,0.0
2014,Arkansas,District 63,Democratic Party,Lackey Moody,3386,False,0.0
2014,Arkansas,District 63,Republican Party,James Sturch,5343,True,0.0
2014,Arkansas,District 64,Republican Party,John Payton,1,True,1.0
2014,Arkansas,District 65,Democratic Party,Tommy Thompson,4135,False,1.0
2014,Arkansas,District 65,Republican Party,Rick Beck,4588,True,0.0
2014,Arkansas,District 66,Republican Party,Josh Miller,1,True,1.0
2014,Arkansas,District 67,Republican Party,Stephen Meeks,1,True,1.0
2014,Arkansas,District 68,Democratic Party,Tachany Evans,2222,False,0.0
2014,Arkansas,District 68,Republican Party,Trevor Drown,7847,True,0.0
2014,Arkansas,District 69,Democratic Party,Betty Overbey,1,True,1.0
2014,Arkansas,District 70,Democratic Party,Frank Shaw,4103,False,0.0
2014,Arkansas,District 70,Republican Party,David Meeks,5177,True,1.0
2014,Arkansas,District 71,Republican Party,Kenneth Henderson,1,True,0.0
2014,Arkansas,District 72,Democratic Party,Steve Magie,3794,True,1.0
2014,Arkansas,District 72,Republican Party,Shannon L. Taylor,2936,False,0.0
2014,Arkansas,District 73,Democratic Party,John Catlett,3392,False,1.0
2014,Arkansas,District 73,Republican Party,Mary Bentley,3588,True,0.0
2014,Arkansas,District 74,Republican Party,Jon S. Eubanks,1,True,1.0
2014,Arkansas,District 75,Republican Party,Charlotte Vining Douglas,1,True,1.0
2014,Arkansas,District 76,Republican Party,Mathew W. Pitsch,1,True,0.0
2014,Arkansas,District 77,Republican Party,Justin Boyd,1,True,0.0
2014,Arkansas,District 78,Democratic Party,George McGill,1,True,1.0
2014,Arkansas,District 79,Republican Party,Gary Deffenbaugh,1,True,1.0
2014,Arkansas,District 80,Republican Party,Charlene Fite,6615,True,1.0
2014,Arkansas,District 80,Libertarian Party,Taylor Watkins,1845,False,0.0
2014,Arkansas,District 81,Republican Party,Justin T. Harris,1,True,1.0
2014,Arkansas,District 82,Republican Party,Bill Gossage,1,True,1.0
2014,Arkansas,District 83,Republican Party,David L. Branscum,1,True,1.0
2014,Arkansas,District 84,Democratic Party,Candy Clark,4654,False,0.0
2014,Arkansas,District 84,Republican Party,Charlie Collins,6490,True,1.0
2014,Arkansas,District 85,Democratic Party,David Whitaker,1,True,1.0
2014,Arkansas,District 86,Democratic Party,Greg Leding,1,True,1.0
2014,Arkansas,District 87,Republican Party,Robin Lundstrum,1,True,0.0
2014,Arkansas,District 88,Republican Party,Lance Eads,1,True,0.0
2014,Arkansas,District 89,Republican Party,Micah S. Neal,1,True,1.0
2014,Arkansas,District 90,Republican Party,Jana Della Rosa,1,True,0.0
2014,Arkansas,District 91,Republican Party,Dan Douglas,1,True,1.0
2014,Arkansas,District 92,Republican Party,Kim Hendren,1,True,0.0
2014,Arkansas,District 93,Democratic Party,Leah Marie Williams,2537,False,0.0
2014,Arkansas,District 93,Republican Party,Jim Dotson,6070,True,1.0
2014,Arkansas,District 94,Democratic Party,Grimsley Graham,2565,False,0.0
2014,Arkansas,District 94,Republican Party,Rebecca Petty,3508,True,0.0
2014,Arkansas,District 95,Republican Party,Sue Scott,7120,True,1.0
2014,Arkansas,District 95,Libertarian Party,Eddie Moser,1591,False,0.0
2014,Arkansas,District 96,Democratic Party,Tom McClure,2605,False,0.0
2014,Arkansas,District 96,Republican Party,Grant Hodges,4330,True,0.0
2014,Arkansas,District 96,Libertarian Party,Michael J. Kalagias,375,False,0.0
2014,Arkansas,District 97,Democratic Party,"Charles ""Sonny"" Carter",3384,False,0.0
2014,Arkansas,District 97,Republican Party,Bob Ballinger,6234,True,1.0
2014,Arkansas,District 98,Republican Party,Ron McNair,1,True,0.0
2014,Arkansas,District 99,Republican Party,Kelley Linck,1,True,1.0
2014,Arkansas,District 100,Democratic Party,Willa Mae Tilley,3850,False,0.0
2014,Arkansas,District 100,Republican Party,Nelda Speaks,6550,True,0.0
2014,California,District 1,Democratic Party,Brigham Sawyer Smith,44119,False,0.0
2014,California,District 1,Republican Party,Brian Dahle,104103,True,1.0
2014,California,District 2,Democratic Party,Jim Wood,85045,True,0.0
2014,California,District 2,Republican Party,Matt Heath,45553,False,0.0
2014,California,District 3,Democratic Party,Jim Reed,40732,False,0.0
2014,California,District 3,Republican Party,James Gallagher,69552,True,0.0
2014,California,District 4,Democratic Party,Bill Dodd,70598,True,0.0
2014,California,District 4,Republican Party,Charlie Schaupp,43981,False,0.0
2014,California,District 5,Republican Party,Frank Bigelow,88602,True,1.0
2014,California,District 5,Libertarian Party,Patrick D. Hogan,30735,False,0.0
2014,California,District 6,Democratic Party,Brian Caples,49044,False,0.0
2014,California,District 6,Republican Party,Beth B. Gaines,94020,True,1.0
2014,California,District 7,Democratic Party,Steve Cohn,33051,False,0.0
2014,California,District 7,Democratic Party,Kevin McCarty,46983,True,0.0
2014,California,District 8,Democratic Party,Ken Cooley,62892,True,1.0
