state,year,district,candidate ID,party code,candidate incumbency,candidate votes won,won election?,total votes,dem votes,rep_votes,other_votes,candidate name
AK,2012,17,"TARR, GERAN",100,0,2416,1,4006,2416,1568,22,"TARR, GERAN"
AK,2012,18,"EICHENLAUB, CRIS A.",200,0,1654,0,6037,4356,1654,27,"EICHENLAUB, CRIS A."
AK,2012,18,"GARA, LES",100,1,4356,1,6037,4356,1654,27,"GARA, LES"
AK,2012,18,SCATTERING,600,0,27,0,6037,4356,1654,27,SCATTERING
AK,2012,19,"DUBEY, ANAND",200,0,3419,0,7633,4199,3419,15,"DUBEY, ANAND"
AK,2012,19,"HOLMES, LINDSEY S.",100,1,4199,1,7633,4199,3419,15,"HOLMES, LINDSEY S."
AK,2012,19,SCATTERING,600,0,15,0,7633,4199,3419,15,SCATTERING
AK,2012,20,"COSTELLO, MIA",200,1,5134,1,7274,2117,5134,23,"COSTELLO, MIA"
AK,2012,20,"SCANNELL, MICHELLE",100,0,2117,0,7274,2117,5134,23,"SCANNELL, MICHELLE"
AK,2012,20,SCATTERING,600,0,23,0,7274,2117,5134,23,SCATTERING
AK,2012,21,"DOMINGUEZ, JODIE",100,0,2988,0,8163,2988,5156,19,"DOMINGUEZ, JODIE"
AK,2012,21,"JOHNSON, CRAIG W.",200,1,5156,1,8163,2988,5156,19,"JOHNSON, CRAIG W."
AK,2012,21,SCATTERING,600,0,19,0,8163,2988,5156,19,SCATTERING
AK,2012,22,SCATTERING,600,0,15,0,5892,3169,2708,15,SCATTERING
AK,2012,22,"TUCK, CHRIS",100,1,3169,1,5892,3169,2708,15,"TUCK, CHRIS"
AK,2012,22,"VAUGHT, LISA M.",200,0,2708,0,5892,3169,2708,15,"VAUGHT, LISA M."
AK,2012,23,"LYNN, BOB",200,1,4737,1,7560,2804,4737,19,"LYNN, BOB"
AK,2012,23,"MARROQUIN, GUADALUPE",100,0,2804,0,7560,2804,4737,19,"MARROQUIN, GUADALUPE"
AK,2012,23,SCATTERING,600,0,19,0,7560,2804,4737,19,SCATTERING
AK,2012,24,"HIGGINS, PATTI",100,0,2944,0,6624,2944,3667,13,"HIGGINS, PATTI"
AK,2012,24,"MILLETT, CHARISSE E.",200,1,3667,1,6624,2944,3667,13,"MILLETT, CHARISSE E."
AK,2012,24,SCATTERING,600,0,13,0,6624,2944,3667,13,SCATTERING
AK,2012,25,"PETERSEN, PETE",100,1,3896,0,8037,3896,4119,22,"PETERSEN, PETE"
AK,2012,25,"PRUITT, LANCE",200,1,4119,1,8037,3896,4119,22,"PRUITT, LANCE"
AK,2012,25,SCATTERING,600,0,22,0,8037,3896,4119,22,SCATTERING
AK,2012,26,"GOUGHNOUR, ROBERTA C.",100,0,2535,0,9518,2535,6903,80,"GOUGHNOUR, ROBERTA C."
AK,2012,26,"REINBOLD, LORA",200,0,6903,1,9518,2535,6903,80,"REINBOLD, LORA"
AK,2012,26,SCATTERING,600,0,80,0,9518,2535,6903,80,SCATTERING
AK,2012,27,"HAWKER, MIKE",200,1,7807,1,8221,0,7807,414,"HAWKER, MIKE"
AK,2012,27,SCATTERING,600,0,414,0,8221,0,7807,414,SCATTERING
AK,2012,28,"CHENAULT, CHARLES M.",200,1,6274,1,6563,0,6274,289,"CHENAULT, CHARLES M."
AK,2012,28,SCATTERING,600,0,289,0,6563,0,6274,289,SCATTERING
AK,2012,29,"OLSON, KURT E.",200,1,6260,1,6477,0,6260,217,"OLSON, KURT E."
AK,2012,29,SCATTERING,600,0,217,0,6477,0,6260,217,SCATTERING
AK,2012,30,"DIAMENT, ELIZABETH R.",100,0,2413,0,8762,2413,6287,62,"DIAMENT, ELIZABETH R."
AK,2012,30,SCATTERING,600,0,62,0,8762,2413,6287,62,SCATTERING
AK,2012,30,"SEATON, PAUL K.",200,1,6287,1,8762,2413,6287,62,"SEATON, PAUL K."
AK,2012,31,"MUNOZ, CATHY",200,1,7243,1,7489,0,7243,246,"MUNOZ, CATHY"
AK,2012,31,SCATTERING,600,0,246,0,7489,0,7243,246,SCATTERING
AK,2012,32,"KERTTULA, BETH",100,1,7112,1,7431,7112,0,319,"KERTTULA, BETH"
AK,2012,32,SCATTERING,600,0,319,0,7431,7112,0,319,SCATTERING
AK,2012,33,"JOHANSEN, KYLE",400,1,641,0,7124,2332,4131,661,"JOHANSEN, KYLE"
AK,2012,33,"OLSEN, MATT",100,0,2332,0,7124,2332,4131,661,"OLSEN, MATT"
AK,2012,33,SCATTERING,600,0,20,0,7124,2332,4131,661,SCATTERING
AK,2012,33,"WILSON, PEGGY",200,1,4131,1,7124,2332,4131,661,"WILSON, PEGGY"
AK,2012,34,"KREISSTOMKINS, JONA",100,0,4125,1,8232,4125,4091,16,"KREISSTOMKINS, JONA"
AK,2012,34,SCATTERING,600,0,16,0,8232,4125,4091,16,SCATTERING
AK,2012,34,"THOMAS, WILLIAM A. (BILL) JR.",200,1,4091,0,8232,4125,4091,16,"THOMAS, WILLIAM A. (BILL) JR."
AK,2012,35,"AUSTERMAN, ALAN D.",200,1,5226,1,5401,0,5226,175,"AUSTERMAN, ALAN D."
AK,2012,35,SCATTERING,600,0,175,0,5401,0,5226,175,SCATTERING
AK,2012,36,"EDGMON, BRYCE",100,1,2536,1,4621,2536,2071,14,"EDGMON, BRYCE"
AK,2012,36,"MORGAN, CARL M. JR.",200,0,2071,0,4621,2536,2071,14,"MORGAN, CARL M. JR."
AK,2012,36,SCATTERING,600,0,14,0,4621,2536,2071,14,SCATTERING
AK,2012,37,"HERRON, BOB",100,1,3291,1,3436,3291,0,145,"HERRON, BOB"
AK,2012,37,SCATTERING,600,0,145,0,3436,3291,0,145,SCATTERING
AK,2012,38,"DICK, ALAN S.",200,1,2583,0,6355,2894,2583,878,"DICK, ALAN S."
AK,2012,38,"GUTTENBERG, DAVID",100,1,2894,1,6355,2894,2583,878,"GUTTENBERG, DAVID"
AK,2012,38,SCATTERING,600,0,21,0,6355,2894,2583,878,SCATTERING
AK,2012,38,"SHOCKLEY, DOROTHY J.",400,0,857,0,6355,2894,2583,878,"SHOCKLEY, DOROTHY J."
AK,2012,39,"FOSTER, NEAL W.",100,1,4854,1,5055,4854,0,201,"FOSTER, NEAL W."
AK,2012,39,SCATTERING,600,0,201,0,5055,4854,0,201,SCATTERING
AK,2012,40,"NAGEAK, BENJAMIN P.",100,0,3444,1,3591,3444,0,147,"NAGEAK, BENJAMIN P."
AK,2012,40,SCATTERING,600,0,147,0,3591,3444,0,147,SCATTERING
AR,2012,1,"HICKERSON, MARY P. (PRISSY)",200,1,,1,0,0,0,0,"HICKERSON, MARY P. (PRISSY)"
AR,2012,2,"JEAN, LANE",200,1,,1,0,0,0,0,"JEAN, LANE"
AR,2012,3,"TALLEY, BRENT",100,0,5034,1,9309,5034,4275,0,"TALLEY, BRENT"
AR,2012,3,"WRIGHT, SHARON",200,0,4275,0,9309,5034,4275,0,"WRIGHT, SHARON"
AR,2012,4,"HAWTHORNE, FONDA",100,0,4870,1,8957,4870,4087,0,"HAWTHORNE, FONDA"
AR,2012,4,"LINNETT, DANIEL A.",200,0,4087,0,8957,4870,4087,0,"LINNETT, DANIEL A."
AR,2012,5,"FIELDING, DAVID",100,1,,1,0,0,0,0,"FIELDING, DAVID"
AR,2012,6,"CYPHERS, PETER SAM",400,0,2149,0,37792,11424,24219,2149,"CYPHERS, PETER SAM"
AR,2012,6,"SHEPHERD, MATTHEW",200,1,10051,1,37792,11424,24219,2149,"SHEPHERD, MATTHEW"
AR,2012,7,"BAINE, JOHN",100,0,,1,23331,8221,15110,0,"BAINE, JOHN"
AR,2012,8,"WARDLAW, JEFF R.",100,1,,1,0,0,0,0,"WARDLAW, JEFF R."
AR,2012,9,"LAMPKIN, SHEILLA E.",100,1,5815,1,34023,16287,17736,0,"LAMPKIN, SHEILLA E."
AR,2012,9,"MEGGS, GARY",200,0,4322,0,34023,16287,17736,0,"MEGGS, GARY"
AR,2012,10,"HOLCOMB, JUDGE MIKE",100,0,5813,1,10511,5813,4698,0,"HOLCOMB, JUDGE MIKE"
AR,2012,10,"ROBERTS, CHARLES",200,0,4698,0,10511,5813,4698,0,"ROBERTS, CHARLES"
AR,2012,11,"MCELROY, MARK D.",100,0,,1,27658,13148,14510,0,"MCELROY, MARK D."
AR,2012,12,"RICHEY, CHRIS",100,0,,1,0,0,0,0,"RICHEY, CHRIS"
AR,2012,13,"DERDEN, GARLAND JR.",200,0,4694,0,39660,18185,20462,1013,"DERDEN, GARLAND JR."
AR,2012,13,"HILLMAN, DAVID",100,0,4897,1,39660,18185,20462,1013,"HILLMAN, DAVID"
AR,2012,14,"MCCRARY, WALLS",100,1,,1,0,0,0,0,"MCCRARY, WALLS"
AR,2012,15,"BRAGG, KEN",200,0,6705,1,43250,18786,24464,0,"BRAGG, KEN"
AR,2012,15,"TADLOCK, CHARLES",100,0,4086,0,43250,18786,24464,0,"TADLOCK, CHARLES"
AR,2012,16,"WORD, JAMES L.",100,1,,1,0,0,0,0,"WORD, JAMES L."
AR,2012,17,"WILKINS, HENRY (HANK) IV",100,1,,1,0,0,0,0,"WILKINS, HENRY (HANK) IV"
AR,2012,18,"HARRIS, FRED W.",100,0,5247,0,45354,13659,28155,3540,"HARRIS, FRED W."
AR,2012,18,"WOMACK, RICHARD",200,0,5865,1,45354,13659,28155,3540,"WOMACK, RICHARD"
AR,2012,19,"STEEL, NATE",100,1,,1,30158,15442,14716,0,"STEEL, NATE"
AR,2012,20,"BELL, NATE",200,1,6696,1,37073,17208,19865,0,"BELL, NATE"
AR,2012,20,"DIGGS, LEWIS",100,0,3592,0,37073,17208,19865,0,"DIGGS, LEWIS"
AR,2012,21,"RICE, TERRY",200,1,,1,0,0,0,0,"RICE, TERRY"
AR,2012,22,"WESTERMAN, BRUCE",200,1,,1,0,0,0,0,"WESTERMAN, BRUCE"
AR,2012,23,"CLEMMER, ANN V.",200,1,,1,26012,12214,13798,0,"CLEMMER, ANN V."
AR,2012,24,"COZART, BRUCE",200,0,7778,1,12402,4624,7778,0,"COZART, BRUCE"
AR,2012,24,"HARMON, JIMMIE",100,0,4624,0,12402,4624,7778,0,"HARMON, JIMMIE"
AR,2012,25,"JONES, MICHAEL A. SR.",200,0,3985,0,34693,26570,3985,4138,"JONES, MICHAEL A. SR."
AR,2012,25,"VINES, JOHN T.",100,1,6615,1,34693,26570,3985,4138,"VINES, JOHN T."
AR,2012,26,"KIZZIA, DAVID",100,0,5589,1,38829,20068,18761,0,"KIZZIA, DAVID"
AR,2012,26,"MAUCH, LOY",200,1,4637,0,38829,20068,18761,0,"MAUCH, LOY"
AR,2012,27,"MAYBERRY, ANDY",200,1,,1,31311,15805,15506,0,"MAYBERRY, ANDY"
AR,2012,28,"HAMMER, KIM D.",200,1,6161,1,39466,17581,21885,0,"HAMMER, KIM D."
AR,2012,28,"NIX, BARBARA",100,0,4485,0,39466,17581,21885,0,"NIX, BARBARA"
AR,2012,29,"LOVE, FREDRICK (FRED)",100,1,,1,0,0,0,0,"LOVE, FREDRICK (FRED)"
AR,2012,30,"ARMSTRONG, CHARLES L.",100,0,,1,0,0,0,0,"ARMSTRONG, CHARLES L."
AR,2012,31,"DAVIS, ANDY",200,0,9575,1,42498,29006,9575,3917,"DAVIS, ANDY"
AR,2012,31,"FORMICOLA, TOMMY",100,0,4599,0,42498,29006,9575,3917,"FORMICOLA, TOMMY"
AR,2012,32,"GRAVES, BARBARA",100,0,6652,0,53752,28835,24917,0,"GRAVES, BARBARA"
AR,2012,32,"KERR, ALLEN",200,1,8042,1,53752,28835,24917,0,"KERR, ALLEN"
AR,2012,33,"SABIN, WARWICK",100,0,,1,0,0,0,0,"SABIN, WARWICK"
AR,2012,34,"WALKER, JOHN W.",100,1,,1,36152,17932,18220,0,"WALKER, JOHN W."
AR,2012,35,"EDWARDS, JOHN C.",100,1,8046,1,43576,21504,22072,0,"EDWARDS, JOHN C."
AR,2012,35,"WOLFE, PATRICE",200,0,6099,0,43576,21504,22072,0,"WOLFE, PATRICE"
AR,2012,36,"WILLIAMS, DARRIN",100,1,,1,0,0,0,0,"WILLIAMS, DARRIN"
AR,2012,37,"ARMSTRONG, EDDIE L. III",100,0,,1,0,0,0,0,"ARMSTRONG, EDDIE L. III"
AR,2012,38,"DIMICHELE, DEAN",200,0,5728,0,13427,6674,5728,1025,"DIMICHELE, DEAN"
AR,2012,38,"JULIAN, PATTI",100,0,6674,1,13427,6674,5728,1025,"JULIAN, PATTI"
AR,2012,38,"LAMAN, BILL M.",400,0,631,0,13427,6674,5728,1025,"LAMAN, BILL M."
AR,2012,38,"STANDIFORD, DEBRAH",400,0,394,0,13427,6674,5728,1025,"STANDIFORD, DEBRAH"
AR,2012,39,"HALSTEAD, KELLY",100,0,6071,0,12758,6071,6687,0,"HALSTEAD, KELLY"
AR,2012,39,"LOWERY, MARK",200,0,6687,1,12758,6071,6687,0,"LOWERY, MARK"
AR,2012,40,"HOUSE, DOUGLAS",200,0,7067,1,10864,3797,7067,0,"HOUSE, DOUGLAS"
AR,2012,40,"MCNEELY, STEVEN",100,0,3797,0,10864,3797,7067,0,"MCNEELY, STEVEN"
AR,2012,41,"NICKELS, JIM",100,1,6700,1,12892,6700,6192,0,"NICKELS, JIM"
AR,2012,41,"POGUE, ALAN L.",200,0,6192,0,12892,6700,6192,0,"POGUE, ALAN L."
AR,2012,42,"PERRY, MARK",100,1,,1,0,0,0,0,"PERRY, MARK"
AR,2012,43,"CARTER, DAVY",200,1,,1,0,0,0,0,"CARTER, DAVY"
AR,2012,44,"FARRER, JOE",200,0,6397,1,9936,3539,6397,0,"FARRER, JOE"
AR,2012,44,"RILEY, JUDY",100,0,3539,0,9936,3539,6397,0,"RILEY, JUDY"
AR,2012,45,"GILLAM, JEREMY",200,1,6958,1,8361,0,6958,1403,"GILLAM, JEREMY"
AR,2012,45,"MASON, TRAVIS",400,0,1403,0,8361,0,6958,1403,"MASON, TRAVIS"
AR,2012,46,"BIVIANO, MARK",200,1,6305,1,10378,4073,6305,0,"BIVIANO, MARK"
AR,2012,46,"OSBORNE, KYLE",100,0,4073,0,10378,4073,6305,0,"OSBORNE, KYLE"
AR,2012,47,"DICKINSON, JODY",100,1,,1,0,0,0,0,"DICKINSON, JODY"
AR,2012,48,"MURDOCK, REGINALD",100,1,,1,0,0,0,0,"MURDOCK, REGINALD"
AR,2012,49,"WRIGHT, MARSHALL",100,1,,1,0,0,0,0,"WRIGHT, MARSHALL"
AR,2012,50,"HALLUM, HUDSON",100,0,,1,0,0,0,0,"HALLUM, HUDSON"
AR,2012,51,"FERGUSON, DEBORAH",100,0,6794,1,8580,6794,0,1786,"FERGUSON, DEBORAH"
AR,2012,51,"PAXTON, RODGER",400,0,1786,0,8580,6794,0,1786,"PAXTON, RODGER"
AR,2012,52,"BRYANT, JIMMY",100,0,5014,0,10073,5014,5059,0,"BRYANT, JIMMY"
AR,2012,52,"HUTCHISON, JOHN K.",200,0,5059,1,10073,5014,5059,0,"HUTCHISON, JOHN K."
AR,2012,53,"LENDERMAN, HOMER",100,1,,1,0,0,0,0,"LENDERMAN, HOMER"
AR,2012,54,"WAGNER, WES",100,0,,1,0,0,0,0,"WAGNER, WES"
AR,2012,55,"HODGES, MONTE",100,0,,1,0,0,0,0,"HODGES, MONTE"
AR,2012,56,"JETT, JOE",100,0,,1,0,0,0,0,"JETT, JOE"
AR,2012,57,"BROADAWAY, MARY",100,0,4920,1,9030,4920,3640,470,"BROADAWAY, MARY"
AR,2012,57,"EDDINGTON, WES",200,0,3640,0,9030,4920,3640,470,"EDDINGTON, WES"
AR,2012,57,"SPENCE, RONNIE",400,0,470,0,9030,4920,3640,470,"SPENCE, RONNIE"
AR,2012,58,"COPENHAVER, HAROLD (COPE)",100,0,5682,1,10719,5682,5037,0,"COPENHAVER, HAROLD (COPE)"
AR,2012,58,"HUBBARD, JON",200,1,5037,0,10719,5682,5037,0,"HUBBARD, JON"
AR,2012,59,"COOPER, JOHN R.",200,0,3790,0,8180,4390,3790,0,"COOPER, JOHN R."
AR,2012,59,"WILKINS, BUTCH",100,1,4390,1,8180,4390,3790,0,"WILKINS, BUTCH"
AR,2012,60,"CAVENAUGH, RONALD",200,0,4610,0,9761,5151,4610,0,"CAVENAUGH, RONALD"
AR,2012,60,"RATLIFF, JAMES",100,1,5151,1,9761,5151,4610,0,"RATLIFF, JAMES"
AR,2012,61,"BALTZ, SCOTT",100,0,5429,1,10552,5429,5123,0,"BALTZ, SCOTT"
AR,2012,61,"BENEDICT, LORI A.",200,1,5123,0,10552,5429,5123,0,"BENEDICT, LORI A."
AR,2012,62,"DELFFS, ROGER",200,0,4922,0,11141,6219,4922,0,"DELFFS, ROGER"
AR,2012,62,"WREN, TOMMY",100,1,6219,1,11141,6219,4922,0,"WREN, TOMMY"
AR,2012,63,"FUQUA, CHARLIE",200,0,2995,0,9867,6872,2995,0,"FUQUA, CHARLIE"
AR,2012,63,"MCLEAN, JAMES",100,1,6872,1,9867,6872,2995,0,"MCLEAN, JAMES"
AR,2012,64,"KNAPP, DENNIS",400,0,4967,0,12637,0,7670,4967,"KNAPP, DENNIS"
AR,2012,64,"PAYTON, JOHN",200,0,7670,1,12637,0,7670,4967,"PAYTON, JOHN"
AR,2012,65,"CROSWELL, JEFF",200,0,4426,0,10284,5858,4426,0,"CROSWELL, JEFF"
AR,2012,65,"THOMPSON, TOMMY",100,1,5858,1,10284,5858,4426,0,"THOMPSON, TOMMY"
AR,2012,66,"MILLER, JOSH",200,0,7493,1,11525,4032,7493,0,"MILLER, JOSH"
AR,2012,66,"PISTOLE, JEFF",100,0,4032,0,11525,4032,7493,0,"PISTOLE, JEFF"
AR,2012,67,"LANE, SAM",100,0,3003,0,11005,3003,8002,0,"LANE, SAM"
AR,2012,67,"MEEKS, STEPHEN",200,1,8002,1,11005,3003,8002,0,"MEEKS, STEPHEN"
AR,2012,68,"DALE, ROBERT E.",200,1,,1,0,0,0,0,"DALE, ROBERT E."
AR,2012,69,"HOYLE, DWIGHT",200,0,4617,0,9387,4770,4617,0,"HOYLE, DWIGHT"
AR,2012,69,"OVERBEY, BETTY",100,1,4770,1,9387,4770,4617,0,"OVERBEY, BETTY"
AR,2012,70,"BASSHAM, CODY",100,0,4219,0,11048,4219,6829,0,"BASSHAM, CODY"
AR,2012,70,"MEEKS, DAVID",200,1,6829,1,11048,4219,6829,0,"MEEKS, DAVID"
AR,2012,71,"LEA, ANDREA",200,1,,1,0,0,0,0,"LEA, ANDREA"
AR,2012,72,"LAWRENCE, ROCKY",200,0,3515,0,8700,5185,3515,0,"LAWRENCE, ROCKY"
AR,2012,72,"MAGIE, STEVE",100,0,5185,1,8700,5185,3515,0,"MAGIE, STEVE"
AR,2012,73,"BENTLEY, MARY",200,0,3750,0,7838,4088,3750,0,"BENTLEY, MARY"
AR,2012,73,"CATLETT, JOHN",100,1,4088,1,7838,4088,3750,0,"CATLETT, JOHN"
AR,2012,74,"EUBANKS, JON S.",200,1,7257,1,10045,2788,7257,0,"EUBANKS, JON S."
AR,2012,74,"WALL, DANIEL",100,0,2788,0,10045,2788,7257,0,"WALL, DANIEL"
AR,2012,75,"BREEDLOVE, STEVE",100,0,4590,0,10964,4590,6374,0,"BREEDLOVE, STEVE"
AR,2012,75,"DOUGLAS, CHARLOTTE VINING",200,0,6374,1,10964,4590,6374,0,"DOUGLAS, CHARLOTTE VINING"
AR,2012,76,"ALTES, DENNY",200,1,,1,0,0,0,0,"ALTES, DENNY"
AR,2012,77,"MALONE, STEPHANIE",200,1,5756,1,10064,4308,5756,0,"MALONE, STEPHANIE"
AR,2012,77,"TATE, DORIS",100,0,4308,0,10064,4308,5756,0,"TATE, DORIS"
AR,2012,78,"MCGILL, GEORGE B.",100,0,,1,0,0,0,0,"MCGILL, GEORGE B."
AR,2012,79,"DEFFENBAUGH, GARY",200,1,,1,0,0,0,0,"DEFFENBAUGH, GARY"
AR,2012,80,"FITE, CHARLENE",200,0,6173,1,10748,4575,6173,0,"FITE, CHARLENE"
AR,2012,80,"NORTON, JACK",100,0,4575,0,10748,4575,6173,0,"NORTON, JACK"
AR,2012,81,"GRULKEY, WOLF",100,0,3355,0,10246,3355,6891,0,"GRULKEY, WOLF"
AR,2012,81,"HARRIS, JUSTIN T.",200,1,6891,1,10246,3355,6891,0,"HARRIS, JUSTIN T."
AR,2012,82,"GOSSAGE, BILL",200,0,6804,1,10713,3909,6804,0,"GOSSAGE, BILL"
AR,2012,82,"POST, LESLEE MILAM",100,1,3909,0,10713,3909,6804,0,"POST, LESLEE MILAM"
AR,2012,83,"BRANSCUM, DAVID L.",200,1,,1,0,0,0,0,"BRANSCUM, DAVID L."
AR,2012,84,"COLLINS, CHARLIE",200,1,7410,1,13710,6300,7410,0,"COLLINS, CHARLIE"
AR,2012,84,"GRAY, ADELLA",100,0,6300,0,13710,6300,7410,0,"GRAY, ADELLA"
AR,2012,85,"GRAHAM, PAUL",200,0,5067,0,11517,6450,5067,0,"GRAHAM, PAUL"
AR,2012,85,"WHITAKER, DAVID",100,0,6450,1,11517,6450,5067,0,"WHITAKER, DAVID"
AR,2012,86,"LEDING, GREG",100,1,5231,1,8627,5231,3396,0,"LEDING, GREG"
AR,2012,86,"SCOTT, BRIAN",200,0,3396,0,8627,5231,3396,0,"SCOTT, BRIAN"
AR,2012,87,"BARNETT, JONATHAN",200,1,,1,0,0,0,0,"BARNETT, JONATHAN"
AR,2012,88,"ALEXANDER, RANDY",200,0,5589,1,8631,3042,5589,0,"ALEXANDER, RANDY"
AR,2012,88,"SUGG, EDWIN",100,0,3042,0,8631,3042,5589,0,"SUGG, EDWIN"
AR,2012,89,"HERNANDEZ, YESSIE",100,0,1551,0,4255,1551,2704,0,"HERNANDEZ, YESSIE"
AR,2012,89,"NEAL, MICAH S.",200,0,2704,1,4255,1551,2704,0,"NEAL, MICAH S."
AR,2012,90,"CARNINE, LES",200,1,,1,0,0,0,0,"CARNINE, LES"
AR,2012,91,"DOUGLAS, DAN M.",200,0,,1,0,0,0,0,"DOUGLAS, DAN M."
AR,2012,92,"SLINKARD, MARY L.",200,1,,1,0,0,0,0,"SLINKARD, MARY L."
AR,2012,93,"DOTSON, COUNCILMAN JIM",200,0,,1,0,0,0,0,"DOTSON, COUNCILMAN JIM"
AR,2012,94,"HOBBS, DEBRA",200,1,,1,0,0,0,0,"HOBBS, DEBRA"
AR,2012,95,"MOORE, MARK",400,0,4275,0,11082,0,6807,4275,"MOORE, MARK"
AR,2012,95,"SCOTT, SUE",200,0,6807,1,11082,0,6807,4275,"SCOTT, SUE"
AR,2012,96,"BAIRD, DUNCAN",200,1,,1,0,0,0,0,"BAIRD, DUNCAN"
AR,2012,97,"BALLINGER, BOB",200,0,6706,1,11932,5226,6706,0,"BALLINGER, BOB"
AR,2012,97,"BERRY, ROBERT (BUTCH)",100,0,5226,0,11932,5226,6706,0,"BERRY, ROBERT (BUTCH)"
AR,2012,98,"BURRIS, JOHN",200,1,,1,0,0,0,0,"BURRIS, JOHN"
AR,2012,99,"LINCK, KELLEY",200,1,8892,1,11420,0,8892,2528,"LINCK, KELLEY"
