Year,State,District,Party,Name,Votes,Incumbent
2016,New York,District 59,Republican Party,Jeffrey J. Ferretti,9348,0.0
2016,New York,District 60,Democratic Party,Charles Barron,37051,1.0
2016,New York,District 60,Conservative Party,Ernest Johnson,1343,0.0
2016,New York,District 61,Democratic Party,Matthew Titone,1,1.0
2016,New York,District 62,Republican Party,Ronald Castorina Jr.,1,1.0
2016,New York,District 63,Democratic Party,Michael Cusick,1,1.0
2016,New York,District 64,Republican Party,Nicole Malliotakis,1,1.0
2016,New York,District 65,Democratic Party,Yuh-Line Niou,29716,0.0
2016,New York,District 65,Republican Party,Bryan Jung,5761,0.0
2016,New York,District 65,Green Party,Manny Cavaco,1348,0.0
2016,New York,District 65,Founding Fathers Party,Alice Cancel,2171,1.0
2016,New York,District 66,Democratic Party,Deborah Glick,1,1.0
2016,New York,District 67,Democratic Party,Linda Rosenthal,52482,1.0
2016,New York,District 67,Republican Party,Hyman Drusin,8510,0.0
2016,New York,District 68,Democratic Party,Robert Rodriguez,38759,1.0
2016,New York,District 68,Republican Party,Daby Carreras,3920,0.0
2016,New York,District 69,Democratic Party,Daniel O'Donnell,49526,1.0
2016,New York,District 69,Republican Party,Stephen Garrin,5334,0.0
2016,New York,District 70,Democratic Party,Inez E. Dickens,45048,0.0
2016,New York,District 70,Republican Party,Heather Tarrant,3449,0.0
2016,New York,District 71,Democratic Party,Herman Farrell,43183,1.0
2016,New York,District 71,Republican Party,Vanessa Stanback,3516,0.0
2016,New York,District 72,Democratic Party,Carmen N. De La Rosa a,1,0.0
2016,New York,District 73,Democratic Party,Dan Quart,35535,1.0
2016,New York,District 73,Republican Party,Rebecca Harary,20538,0.0
2016,New York,District 73,Green Party,Donal Butterfield,584,0.0
2016,New York,District 74,Democratic Party,Brian Kavanagh,39878,1.0
2016,New York,District 74,Republican Party,Frank Scala,7362,0.0
2016,New York,District 74,Green Party,Scott Hutchins,1569,0.0
2016,New York,District 75,Democratic Party,Richard Gottfried,46186,1.0
2016,New York,District 75,Republican Party,Joseph A. Maffia,8462,0.0
2016,New York,District 76,Democratic Party,Rebecca Seawright,40309,1.0
2016,New York,District 76,Republican Party,Jonathan Kostakopoulos,14851,0.0
2016,New York,District 77,Democratic Party,Latoya Joyner,27986,1.0
2016,New York,District 77,Conservative Party,Benjamin Eggleston,371,0.0
2016,New York,District 78,Democratic Party,Jose Rivera,21915,1.0
2016,New York,District 78,Republican Party,Luana G. Malavolta,1172,0.0
2016,New York,District 78,Conservative Party,William J. Sullivan,366,0.0
2016,New York,District 79,Democratic Party,Michael Blake,30038,1.0
2016,New York,District 79,Conservative Party,Selsia Evans,512,0.0
2016,New York,District 80,Democratic Party,Mark Gjonaj,24959,1.0
2016,New York,District 80,Republican Party,Nicholas Marricco,3391,0.0
2016,New York,District 80,Conservative Party,Robert Goodman,953,0.0
2016,New York,District 81,Democratic Party,Jeffrey Dinowitz,33431,1.0
2016,New York,District 81,Conservative Party,Alan H. Reed,3010,0.0
2016,New York,District 82,Democratic Party,Michael Benedetto,31091,1.0
2016,New York,District 82,Republican Party,Noel Lopez,5737,0.0
2016,New York,District 82,Conservative Party,"William E. Britt, Jr.",1549,0.0
2016,New York,District 83,Democratic Party,Carl Heastie,1,1.0
2016,New York,District 84,Democratic Party,Carmen Arroyo,26652,1.0
2016,New York,District 84,Republican Party,Rosaline Nieves,1606,0.0
2016,New York,District 85,Democratic Party,Marcos Crespo,25812,1.0
2016,New York,District 85,Republican Party,Janelle King,1033,0.0
2016,New York,District 85,Conservative Party,Barbara Santander,406,0.0
2016,New York,District 85,Green Party,Daniel Zuger,419,0.0
2016,New York,District 86,Democratic Party,Victor Pichardo,23196,1.0
2016,New York,District 86,Conservative Party,Jose Marte,530,0.0
2016,New York,District 87,Democratic Party,Luis Sepulveda,30128,1.0
2016,New York,District 87,Conservative Party,Michael Dennis,1218,0.0
2016,New York,District 88,Democratic Party,Amy Paulin,42527,1.0
2016,New York,District 88,Conservative Party,Anthony Decintio Jr.,7643,0.0
2016,New York,District 89,Democratic Party,J. Gary Pretlow,1,1.0
2016,New York,District 90,Democratic Party,Shelley Mayer,1,1.0
2016,New York,District 91,Democratic Party,Steven Otis,1,1.0
2016,New York,District 92,Democratic Party,Thomas Abinanti,1,1.0
2016,New York,District 93,Democratic Party,David Buchwald,1,1.0
2016,New York,District 94,Democratic Party,Brian M. Higbie,23097,0.0
2016,New York,District 94,Republican Party,Kevin M. Byrne,36760,0.0
2016,New York,District 95,Democratic Party,Sandra Galef,35377,1.0
2016,New York,District 95,Republican Party,Gregory Purdy,16388,0.0
2016,New York,District 96,Democratic Party,Kenneth Zebrowski,1,1.0
2016,New York,District 97,Democratic Party,Ellen Jaffee,29782,1.0
2016,New York,District 97,Republican Party,Joseph S. Chabot,17670,0.0
2016,New York,District 97,Working Families Party,Thomas M. Gulla,1088,0.0
2016,New York,District 98,Democratic Party,Aron B. Wieder,19883,0.0
2016,New York,District 98,Republican Party,Karl Brabenec,29105,1.0
2016,New York,District 99,Democratic Party,James G. Skoufis,29590,1.0
2016,New York,District 99,Republican Party,Colin J. Schmitt,26541,0.0
2016,New York,District 100,Democratic Party,Aileen Gunther,1,1.0
2016,New York,District 101,Democratic Party,Arlene G. Feldmeier,17665,0.0
2016,New York,District 101,Republican Party,Brian D. Miller,27405,0.0
2016,New York,District 101,Conservative Party,Maria E. Kelso,5322,0.0
2016,New York,District 102,Republican Party,Peter Lopez,1,1.0
2016,New York,District 103,Democratic Party,Kevin Cahill,41997,1.0
2016,New York,District 103,Conservative Party,Jack Hayes,12105,0.0
2016,New York,District 104,Democratic Party,Frank Skartados,27945,1.0
2016,New York,District 104,Conservative Party,William Banuchi Sr.,6576,0.0
2016,New York,District 105,Democratic Party,Joseph Torres,21471,0.0
2016,New York,District 105,Republican Party,Kieran Michael Lalor,35790,1.0
2016,New York,District 106,Democratic Party,Didi Barrett,30325,1.0
2016,New York,District 106,Republican Party,Terry Sullivan,23973,0.0
2016,New York,District 107,Republican Party,Steven McLaughlin,1,1.0
2016,New York,District 108,Democratic Party,John T. McDonald III,1,1.0
2016,New York,District 109,Democratic Party,Patricia Fahy,42880,1.0
2016,New York,District 109,Republican Party,Jesse D. Calhoun,18467,0.0
2016,New York,District 110,Democratic Party,Phil Steck,36217,1.0
2016,New York,District 110,Republican Party,Tom Murphy,22952,0.0
2016,New York,District 111,Democratic Party,Angelo Santabarbara,30197,1.0
2016,New York,District 111,Republican Party,Peter A. Vroman,17931,0.0
2016,New York,District 112,Democratic Party,Michael R. Godlewski,25399,0.0
2016,New York,District 112,Republican Party,Mary Beth Walsh,41267,0.0
2016,New York,District 113,Democratic Party,Carrie Woerner,33630,1.0
2016,New York,District 113,Republican Party,Christopher H. Boyark,26012,0.0
2016,New York,District 114,Republican Party,Dan Stec,42777,1.0
2016,New York,District 114,Green Party,Robin M. Barkenhagen,7562,0.0
2016,New York,District 115,Democratic Party,D. Billy Jones,25972,0.0
2016,New York,District 115,Republican Party,Kevin A. Mulverhill,23253,0.0
2016,New York,District 116,Democratic Party,Addie Russell,24473,1.0
2016,New York,District 116,Republican Party,"John Byrne, III",21509,0.0
2016,New York,District 117,Republican Party,Kenneth Blankenbush,1,1.0
2016,New York,District 118,Republican Party,Marc Butler,1,1.0
2016,New York,District 119,Democratic Party,Anthony Brindisi,1,1.0
2016,New York,District 120,Republican Party,William Barclay,1,1.0
2016,New York,District 121,Democratic Party,William Magee,27117,1.0
2016,New York,District 121,Republican Party,John J. Salka,24667,0.0
2016,New York,District 122,Republican Party,Clifford Crouch,1,1.0
2016,New York,District 123,Democratic Party,Donna Lupardo,32613,1.0
2016,New York,District 123,Republican Party,Dorollo Nixon Jr.,19073,0.0
2016,New York,District 124,Democratic Party,Bill Batrowny,18219,0.0
2016,New York,District 124,Republican Party,Christopher Friend,34344,1.0
2016,New York,District 125,Democratic Party,Barbara Lifton,35416,1.0
2016,New York,District 125,Republican Party,"Herbert Masser, Jr.",15264,0.0
2016,New York,District 126,Democratic Party,Diane M. Dwire,23047,0.0
2016,New York,District 126,Republican Party,Gary Finch,37078,1.0
2016,New York,District 127,Democratic Party,Al Stirpe,36604,1.0
2016,New York,District 127,Republican Party,Vincent Giordano,24568,0.0
2016,New York,District 127,Conservative Party,Michael J. Becallo,4064,0.0
2016,New York,District 128,Democratic Party,Pamela Hunter,1,1.0
2016,New York,District 129,Democratic Party,William Magnarelli,1,1.0
2016,New York,District 130,Republican Party,Bob Oaks,1,1.0
2016,New York,District 131,Republican Party,Brian Kolb,1,1.0
2016,New York,District 132,Republican Party,Philip Palmesano,1,1.0
2016,New York,District 133,Democratic Party,Barbara A. Baer,26353,0.0
2016,New York,District 133,Republican Party,Joseph Errigo,34420,0.0
2016,New York,District 134,Republican Party,Peter Lawrence,1,1.0
2016,New York,District 135,Democratic Party,Dorothy A. Styk,28558,0.0
2016,New York,District 135,Republican Party,Mark Johns,42616,1.0
2016,New York,District 136,Democratic Party,Joseph Morelle,1,1.0
2016,New York,District 137,Democratic Party,David Gantt,1,1.0
2016,New York,District 138,Democratic Party,Harry Bronson,32166,1.0
2016,New York,District 138,Republican Party,Bob Zinck,17934,0.0
2016,New York,District 139,Republican Party,Stephen Hawley,1,1.0
2016,New York,District 140,Democratic Party,Robin Schimminger,38335,1.0
2016,New York,District 140,Republican Party,Danielle M. Rotolo,13953,0.0
2016,New York,District 140,Green Party,Anthony Baney,1529,0.0
2016,New York,District 141,Democratic Party,Crystal Peoples-Stokes,41179,1.0
2016,New York,District 141,Republican Party,Ross M. Kostecky,4376,0.0
2016,New York,District 142,Democratic Party,Michael Kearns,1,1.0
2016,New York,District 143,Democratic Party,Monica P. Wallace,30877,0.0
2016,New York,District 143,Republican Party,Russell W. Sugg,25253,0.0
2016,New York,District 144,Republican Party,Michael J. Norris a,1,0.0
2016,New York,District 145,Democratic Party,John Ceretto,23609,1.0
2016,New York,District 145,Republican Party,Angelo J. Morinello,28381,0.0
2016,New York,District 146,Democratic Party,Steven G. Meyer,29146,0.0
2016,New York,District 146,Republican Party,Raymond Walter,30560,1.0
2016,New York,District 147,Republican Party,David DiPietro,1,1.0
2016,New York,District 148,Republican Party,Joseph Giglio,1,1.0
2016,New York,District 149,Democratic Party,Sean Ryan,40525,1.0
2016,New York,District 149,Republican Party,Arnold S. Kacalski,0,0.0
2016,New York,District 150,Democratic Party,Jason A. Perdue,13397,0.0
2016,New York,District 150,Republican Party,Andrew Goodell,38272,1.0
